Easting (m),Northing (m),Heading (°),Distance (cm)
194741.22834880225,1947707.6528566699,-167.0,24.47
194741.2271141127,1947707.6481474845,-166.0,24.7
194741.23312994622,1947707.6496474005,-166.0,24.08
194741.23750788084,1947707.6549712098,-167.0,23.53
194741.24082073907,1947707.6557360434,-167.0,23.19
194741.2369232588,1947707.654836239,-167.0,23.59
194741.31005484267,1947711.6757604813,-175.0,21.81
194741.3495023695,1947711.6537155814,-167.0,18.25
194741.35654922022,1947711.6490099416,-165.0,17.68
194741.35983336804,1947711.6498899262,-165.0,17.34
194740.61811724905,1947712.3267018595,-166.0,18.12
194740.61811724905,1947712.3267018595,-166.0,18.12
194744.99852288657,1947712.630049546,-4.0,16.39
194747.4876246704,1947710.4193401507,7.0,24.52
194747.43775073465,1947710.4166522115,8.0,19.54
194747.43949061513,1947710.4309569611,12.0,19.96
194747.4360929043,1947710.4232844526,10.0,19.48
194747.44464742203,1947710.414063208,7.0,20.19
194780.93780403933,1947700.5759839963,-182.0,15.3
194780.9292354331,1947700.573462937,-181.0,16.15
194780.9246361337,1947700.573543218,-181.0,16.61
194780.89531083588,1947700.5706443733,-180.0,19.54
194780.9030394235,1947700.5673685565,-179.0,18.77
194780.91541768482,1947700.5645230017,-178.0,17.54
194780.9208143953,1947700.564711459,-178.0,17.0
194780.06292614734,1947700.5773276861,-178.0,17.82
194780.072948242,1947700.5747386352,-177.0,16.83
194780.06002791395,1947700.5772264777,-178.0,18.11
194780.08902266205,1947700.691610617,-179.0,15.37
194780.08882269252,1947700.6916071265,-179.0,15.39
194780.22456036025,1947701.4214924967,-265.0,28.53
194778.7744198076,1947708.7388748038,88.0,15.75
194778.84509908137,1947711.9661557612,81.0,17.52
194779.69933108526,1947713.152132105,85.0,15.43
194779.7006484556,1947713.5947938638,87.0,15.36
194784.00936734906,1947713.7943052712,-6.0,27.55
194784.00568761805,1947713.7946920265,-6.0,27.18
194783.9635198897,1947713.7991240334,-6.0,22.94
194783.988880198,1947713.7964585575,-6.0,25.49
194783.97874693162,1947713.8018107149,-5.0,24.43
194783.97306729987,1947713.7981205601,-6.0,23.9
194783.94774711764,1947713.8156867197,-2.0,21.25
194788.82290305453,1947711.616035551,-7.0,23.55
194790.95362776416,1947712.3246306272,-242.0,18.49
