Latitude,Longitude,Heading,Distance
0.0,0.0,143.0,15.81
0.0,0.0,141.0,19.94
0.0,0.0,140.0,20.91
0.0,0.0,140.0,19.6
0.0,0.0,140.0,21.59
0.0,0.0,140.0,21.27
0.0,0.0,140.0,20.96
0.0,0.0,140.0,21.03
0.0,0.0,136.0,24.23
0.0,0.0,137.0,23.88
0.0,0.0,135.0,26.47
0.0,0.0,173.0,29.08
0.0,0.0,176.0,29.64
0.0,0.0,177.0,29.54
0.0,0.0,175.0,29.37
0.0,0.0,174.0,28.49
0.0,0.0,171.0,27.7
0.0,0.0,175.0,26.26
0.0,0.0,175.0,25.03
0.0,0.0,176.0,25.41
0.0,0.0,175.0,25.04
0.0,0.0,175.0,24.24
0.0,0.0,175.0,24.36
0.0,0.0,175.0,23.73
0.0,0.0,175.0,23.72
0.0,0.0,135.0,28.53
0.0,0.0,135.0,27.2
0.0,0.0,137.0,25.75
0.0,0.0,138.0,25.51
0.0,0.0,139.0,25.04
0.0,0.0,140.0,24.89
0.0,0.0,139.0,25.18
0.0,0.0,140.0,25.26
0.0,0.0,139.0,25.46
0.0,0.0,139.0,26.0
0.0,0.0,139.0,26.37
0.0,0.0,138.0,26.26
0.0,0.0,138.0,26.37
0.0,0.0,138.0,26.62
0.0,0.0,138.0,26.63
0.0,0.0,138.0,26.79
0.0,0.0,138.0,27.11
0.0,0.0,138.0,27.47
0.0,0.0,138.0,27.53
0.0,0.0,138.0,27.85
0.0,0.0,137.0,27.6
0.0,0.0,136.0,27.68
0.0,0.0,136.0,27.47
0.0,0.0,136.0,27.77
0.0,0.0,135.0,27.68
0.0,0.0,135.0,27.81
0.0,0.0,136.0,27.51
0.0,0.0,136.0,27.57
0.0,0.0,136.0,27.22
0.0,0.0,136.0,27.31
0.0,0.0,136.0,27.48
0.0,0.0,136.0,27.77
0.0,0.0,136.0,27.65
0.0,0.0,133.0,28.02
0.0,0.0,133.0,23.28
0.0,0.0,136.0,23.5
0.0,0.0,137.0,23.73
0.0,0.0,137.0,23.82
0.0,0.0,137.0,23.27
0.0,0.0,138.0,22.97
0.0,0.0,137.0,22.65
0.0,0.0,138.0,22.76
0.0,0.0,138.0,22.18
0.0,0.0,138.0,22.24
0.0,0.0,137.0,22.18
0.0,0.0,137.0,22.23
0.0,0.0,136.0,22.38
0.0,0.0,136.0,22.17
0.0,0.0,137.0,22.13
0.0,0.0,137.0,22.21
0.0,0.0,137.0,22.12
0.0,0.0,136.0,22.23
0.0,0.0,136.0,22.13
0.0,0.0,136.0,22.06
0.0,0.0,137.0,21.79
0.0,0.0,138.0,20.6
0.0,0.0,137.0,19.26
0.0,0.0,138.0,17.83
0.0,0.0,135.0,16.08
0.0,0.0,166.0,16.57
0.0,0.0,24.0,20.66
0.0,0.0,3.0,21.43
0.0,0.0,345.0,26.12
0.0,0.0,235.0,29.21
0.0,0.0,234.0,27.44
0.0,0.0,233.0,25.56
0.0,0.0,235.0,26.2
0.0,0.0,326.0,17.2
0.0,0.0,257.0,19.59
0.0,0.0,270.0,25.64
0.0,0.0,269.0,22.55
0.0,0.0,269.0,20.16
0.0,0.0,269.0,18.97
0.0,0.0,262.0,20.32
0.0,0.0,247.0,28.01
17.595448,78.124802,92.0,16.54
17.595465,78.124847,93.0,23.8
17.595465,78.124847,94.0,25.83
17.595467,78.124847,93.0,27.08
17.595467,78.124847,93.0,28.43
17.595467,78.124847,93.0,29.58
17.595467,78.124847,94.0,26.66
17.595467,78.124847,94.0,27.94
17.595469,78.124847,94.0,27.33
17.595469,78.124847,94.0,27.23
17.59519,78.124825,258.0,25.69
17.595188,78.124817,262.0,19.66
17.595196,78.124779,256.0,29.5
17.595196,78.124779,256.0,29.08
17.595196,78.124779,257.0,28.47
17.595196,78.124779,256.0,28.93
17.595196,78.124779,256.0,27.75
17.595196,78.124779,256.0,27.55
17.595198,78.124779,257.0,27.68
17.595198,78.124779,257.0,27.17
17.595051,78.124825,179.0,28.24
17.595051,78.124825,181.0,27.04
17.595051,78.124825,181.0,26.63
17.595051,78.124825,182.0,26.62
17.595116,78.12429,351.0,20.18
17.595152,78.124321,351.0,23.88
17.595152,78.124321,351.0,23.48
17.595156,78.124321,351.0,23.95
17.595156,78.124321,351.0,23.51
17.595158,78.124329,352.0,23.42
17.595158,78.124329,354.0,25.36
17.595064,78.124329,36.0,22.12
17.595015,78.124313,182.0,29.45
17.595009,78.124306,182.0,25.86
17.595009,78.124306,183.0,26.3
17.595009,78.124306,183.0,25.39
17.595005,78.124298,182.0,25.87
17.595005,78.124298,181.0,27.47
17.595079,78.123978,259.0,18.43
17.595076,78.123924,257.0,15.76
17.595076,78.123924,256.0,15.54
17.595074,78.123917,257.0,16.08
17.595074,78.123917,257.0,16.26
17.595074,78.123917,257.0,17.85
17.59507,78.123909,257.0,18.71
17.59507,78.123909,256.0,19.34
17.59622,78.123917,346.0,28.48
17.596228,78.123917,349.0,24.11
17.596233,78.123924,348.0,22.15
17.596233,78.123924,348.0,21.64
17.595608,78.123741,267.0,29.37
17.595608,78.123741,268.0,28.9
17.595608,78.123741,269.0,27.18
17.595608,78.123741,268.0,26.84
17.595608,78.123741,268.0,25.41
17.595608,78.123741,269.0,25.62
17.596132,78.123802,356.0,20.47
17.596132,78.123802,358.0,18.66
17.596151,78.12381,357.0,29.67
17.596157,78.123817,1.0,29.54
17.596157,78.123817,1.0,18.07
17.596157,78.123817,2.0,17.94
17.596136,78.123695,176.0,23.56
17.596136,78.123695,176.0,21.49
17.59614,78.123718,177.0,16.63
17.59614,78.123718,177.0,16.63
17.596128,78.123726,177.0,20.64
17.596128,78.123726,186.0,26.13
17.596148,78.123695,353.0,17.69
17.596148,78.123695,356.0,15.84
17.596148,78.123695,357.0,17.26
17.596148,78.123695,357.0,17.86
17.596149,78.123688,357.0,19.03
17.596149,78.123688,357.0,19.01
