Easting (m),Northing (m),Heading (°),Distance (cm)
194832.1502786197,1947713.2978453282,-178.0,23.35
194831.41542959062,1947716.7942640653,-189.0,28.03
194832.1629340768,1947717.1005716566,-186.0,27.94
194832.20828855183,1947717.1040442481,-188.0,23.48
194832.2564539093,1947717.1072003334,-191.0,18.78
194832.25418242515,1947717.1042727337,-190.0,18.95
194833.106146123,1947717.0943000328,-191.0,18.78
194833.09503218546,1947717.089424484,-189.0,19.79
194834.01403755427,1947720.6714233148,-171.0,18.39
194830.70259719217,1947720.2084525344,-153.0,21.75
194830.73982118833,1947720.2308312142,-154.0,17.42
194830.73600993684,1947720.225477178,-153.0,18.0
194830.73690094336,1947720.2259311688,-153.0,17.9
194830.68517451032,1947720.2041782485,-154.0,23.5
194813.89782396934,1947732.5528457693,-156.0,20.58
194813.94371608392,1947732.5641406856,-153.0,15.95
194813.94033025912,1947732.5624155218,-153.0,16.33
194813.9306098927,1947732.5608454733,-154.0,17.27
194813.93583768577,1947732.566608848,-155.0,16.55
194813.9347501164,1947732.5661017061,-155.0,16.67
194814.69213730193,1947733.2241751992,-156.0,16.12
194814.66646667456,1947733.2127458996,-156.0,18.93
194831.77737895472,1947740.8367297286,-191.0,28.5
194831.8292021249,1947740.6210321148,-195.0,23.25
194831.87508133025,1947740.6120976713,-196.0,18.59
194831.83297806798,1947740.6241705876,-196.0,22.97
194831.84398079006,1947740.6170721834,-195.0,21.72
194831.8485568789,1947740.6235996548,-197.0,21.46
194838.802962244,1947743.02991863,5.0,23.25
194838.75355098696,1947743.025595705,5.0,18.29
194838.7361208499,1947743.0182903523,3.0,16.5
194838.7228769559,1947743.020250928,4.0,15.19
194833.62853893833,1947752.6327721656,-187.0,20.32
194833.66712716542,1947752.6309301248,-188.0,16.47
194832.79420175284,1947753.2991213067,-184.0,19.69
194832.79829176544,1947753.2988353053,-184.0,19.28
194832.8098346261,1947753.5197557812,-184.0,18.46
194832.80853779282,1947753.5198464647,-184.0,18.59
194832.7940729004,1947753.3025820851,-185.0,19.73
194832.7913831747,1947753.3028174057,-185.0,20.0
