Latitude,Longitude,Heading,Distance
17.595167,78.124809,268,23.35
17.595198,78.124802,279,28.03
17.595201,78.124809,276,27.94
17.595201,78.124809,278,23.48
17.595201,78.124809,281,18.78
17.595201,78.124809,280,18.95
17.595201,78.124817,281,18.78
17.595201,78.124817,279,19.79
17.595234,78.124825,261,18.39
17.59523,78.124794,243,21.75
17.59523,78.124794,244,17.42
17.59523,78.124794,243,18
17.59523,78.124794,243,17.9
17.59523,78.124794,244,23.5
17.595339,78.124634,246,20.58
17.595339,78.124634,243,15.95
17.595339,78.124634,243,16.33
17.595339,78.124634,244,17.27
17.595339,78.124634,245,16.55
17.595339,78.124634,245,16.67
17.595345,78.124641,246,16.12
17.595345,78.124641,246,18.93
17.595415,78.124802,281,28.5
17.595413,78.124802,285,23.25
17.595413,78.124802,286,18.59
17.595413,78.124802,286,22.97
17.595413,78.124802,285,21.72
17.595413,78.124802,287,21.46
17.595436,78.124863,85,23.25
17.595436,78.124863,85,18.29
17.595436,78.124863,87,16.5
17.595436,78.124863,86,15.19
17.595522,78.124817,277,20.32
17.595522,78.124817,278,16.47
17.595528,78.124809,274,19.69
17.595528,78.124809,274,19.28
17.59553,78.124809,274,18.46
17.59553,78.124809,274,18.59
17.595528,78.124809,275,19.73
17.595528,78.124809,275,20
17.59553,78.124809,274,20.55
17.59553,78.124809,274,21.09
17.59553,78.124809,273,22.19
17.59553,78.124809,274,22.6
17.595533,78.124802,94,22.11
17.595533,78.124802,94,16.58
17.595535,78.124809,85,29.56
17.595535,78.124809,84,29.9
17.595535,78.124809,84,29.67
17.595535,78.124802,83,28.71
17.595535,78.124802,83,28.42
17.595535,78.124802,83,27.05
17.595535,78.124802,82,26.44
17.595535,78.124802,82,25.45
17.595535,78.124802,82,25.81
17.595877,78.124771,290,27.92
17.595877,78.124771,290,28.42
17.595894,78.124771,292,27.97
17.595894,78.124771,292,27.24
17.595903,78.124771,291,26.6
17.595903,78.124771,291,27.4
17.595915,78.124771,289,25.05
17.595915,78.124771,289,24.49
17.595915,78.124771,292,28.09
17.596287,78.124878,359,22.71
17.596287,78.124878,357,19.65
17.596289,78.124878,356,16.38
17.596289,78.124878,354,17.31
17.596045,78.12455,280,22.62
17.596045,78.12455,279,17.15
17.596041,78.124504,300,24.18
17.596041,78.124504,301,23.29
17.596041,78.124504,301,22.18
17.596041,78.124504,300,22.45
17.595808,78.124466,255,27.77
17.595812,78.124451,257,25.92
17.595812,78.124451,259,23.26
17.595812,78.124451,261,22.31
17.595812,78.124451,261,20.99
17.595812,78.124451,261,18.63
17.595812,78.124451,260,19.94
17.595741,78.124481,256,18.43
17.595734,78.124474,260,29.48
17.59573,78.124458,260,23.5
17.59573,78.124458,260,23.42
17.59573,78.124458,253,29.02
17.595463,78.124397,244,20.88
17.595461,78.124405,247,28.46
17.595461,78.124405,241,20.35
17.595461,78.124405,242,19.1
17.595465,78.124413,241,19.14
17.595465,78.124413,241,18.96
17.596251,78.124649,356,24.31
17.596279,78.124641,0,16.34
17.596279,78.124641,359,20.37
17.596279,78.124641,0,20.11
17.596281,78.124634,358,22.36
17.596205,78.124413,180,26.73
17.596205,78.124413,177,24.05
17.596155,78.124397,173,21.49
17.596155,78.124397,173,21.16
17.596056,78.124336,113,20.27
17.596052,78.124359,112,27.6
17.596052,78.124359,113,26.32
17.596052,78.124359,113,23.53
17.596052,78.124359,113,23.76
17.59605,78.124359,113,23.75
17.59605,78.124359,114,24.26
17.596052,78.124382,121,15.87
17.596052,78.124382,117,22.12
17.595875,78.124222,257,23.86
17.595871,78.124199,282,29.13
17.595871,78.124199,284,25.4
17.595871,78.124199,283,25.14
17.595871,78.124199,283,23.31
17.595871,78.124199,282,23.23
17.595877,78.12413,82,23.35
17.595882,78.1241,94,15.98
17.595879,78.124161,87,28.53
17.595879,78.124161,87,24.22
17.595894,78.124207,108,24.12
17.595684,78.124153,244,24.55
17.595684,78.124153,241,22.43
17.595676,78.124176,235,18.06
17.595676,78.124176,241,21.57
17.595423,78.124405,172,20.4
17.595312,78.124329,202,25.13
17.595308,78.124329,201,18.1
17.595308,78.124329,201,20.09
17.595308,78.124329,202,20.41
17.595308,78.124329,202,20.22
17.595308,78.124329,200,18.48
17.595308,78.124329,199,22.97
17.595133,78.12426,72,21.5
17.595108,78.124252,184,24.45
17.595108,78.124252,183,17.63
17.595102,78.12426,186,16.61
17.595102,78.12426,185,17.17
17.595102,78.12426,185,17.8
17.595102,78.12426,185,18.02
17.595102,78.12426,185,20.42
17.595102,78.12426,183,20.81
17.595121,78.124245,182,21.32
17.595121,78.124245,182,21.01
17.595119,78.124252,181,22.54
17.595119,78.124252,182,27.07
17.595076,78.124001,266,28.74
17.595076,78.124001,267,25.73
17.595076,78.123993,266,22.88
17.595076,78.123993,266,22.46
17.595076,78.123985,266,24.75
17.595217,78.124069,41,27.34
17.595211,78.124084,37,18.56
17.595211,78.124084,37,18.23
17.595207,78.124084,37,18.06
17.595207,78.124084,38,17.8
17.595207,78.124084,50,27.8
17.595201,78.123993,265,26.88
17.595201,78.123993,264,23.27
17.595207,78.123978,263,21.36
17.595207,78.123978,263,21.44
17.595207,78.123978,263,23.82
17.595285,78.123947,109,20.18
17.595324,78.124008,146,28.87
17.595324,78.124008,146,24.58
17.595324,78.124008,146,23.82
17.595316,78.124023,147,23.31
17.595316,78.124023,147,23.22
17.595316,78.124023,147,23.82
17.595316,78.124023,147,25.9
17.595324,78.123955,269,22.25
17.595324,78.123955,270,19.45
17.595324,78.123955,268,17.38
17.595324,78.123955,268,16.49
17.595329,78.123947,274,20.39
17.595329,78.123947,275,26.66
17.595495,78.12397,106,28.52
17.595495,78.12397,105,26.92
17.595488,78.123947,109,26.39
17.595488,78.123947,109,26.07
17.595488,78.123947,109,27.21
17.595488,78.123947,109,27.71
17.59548,78.123894,162,17.21
17.595499,78.123772,266,24.75
17.595499,78.123772,267,26.15
17.595793,78.123642,118,28.35
17.595793,78.123642,118,27.62
17.595791,78.123665,119,25.43
17.595791,78.123665,119,25.14
17.595789,78.123665,119,24.8
17.595789,78.123665,119,26.39
17.595793,78.123642,267,22.42
17.595798,78.123657,266,17.56
17.595798,78.123657,266,17.69
17.5958,78.123657,266,17.64
17.5958,78.123657,267,19.08
17.595947,78.123619,79,29.49
17.595949,78.123611,86,16.59
17.595945,78.123604,99,23.7
17.595945,78.123604,97,21.72
17.595947,78.123604,97,19.67
17.595947,78.123604,97,19.88
17.595943,78.123566,269,19.63
17.595943,78.123566,268,15.98
17.595943,78.123566,268,16.04
17.596115,78.123718,98,19.66
17.596125,78.123764,135,26.61
17.596125,78.123764,137,25.44
17.596125,78.123764,137,23.87
17.596125,78.123764,137,23.7
17.596125,78.123764,138,23.74
17.596125,78.123764,138,24.16
17.596125,78.123764,204,24.52
17.596138,78.123779,272,18.65
17.596138,78.123779,271,18.53
17.596138,78.123787,272,18.02
17.596138,78.123787,271,19.59
17.596296,78.123962,359,20.3
17.596296,78.123962,358,19.21
17.596302,78.123962,359,17.35
17.596079,78.124283,173,19.66
17.595526,78.124306,159,26.75
17.595526,78.124306,158,23.7
17.595526,78.124306,155,23.53
17.595526,78.124306,156,22.85
17.595526,78.124306,146,20.18
17.595526,78.124306,145,21.83
17.595526,78.124306,145,25.43
17.595526,78.124306,156,26.03
17.595526,78.124306,155,29.44
17.595526,78.124306,143,28.19
17.595526,78.124306,149,27.72
17.595526,78.124306,163,22.63
17.595526,78.124306,165,20.18
17.595526,78.124306,163,17.18
