Latitude,Longitude,Heading
17.595222,78.124458,163.0
17.595222,78.124458,163.0
17.595205,78.124458,162.0
17.595205,78.124458,162.0
17.595201,78.124458,160.0
17.595201,78.124458,162.0
17.595201,78.124458,170.0
17.595201,78.124458,170.0
17.595201,78.124458,158.0
17.595201,78.124458,155.0
17.595201,78.124458,153.0
17.595201,78.124458,156.0
17.595201,78.124458,159.0
17.595201,78.124458,178.0
17.595201,78.124458,36.0
17.595201,78.124458,181.0
17.595201,78.124458,183.0
17.595201,78.124458,182.0
17.595201,78.124458,324.0
17.595282,78.124481,172.0
17.595282,78.124481,172.0
17.595264,78.124474,162.0
17.595264,78.124474,163.0
17.595253,78.124474,163.0
17.595253,78.124474,163.0
17.59523,78.124474,164.0
17.59523,78.124474,161.0
17.595217,78.124474,167.0
17.595217,78.124474,166.0
17.5952,78.124474,175.0
17.5952,78.124474,178.0
17.5952,78.124474,217.0
17.595173,78.124474,179.0
17.595173,78.124474,181.0
17.595161,78.124474,172.0
17.595161,78.124474,175.0
17.595152,78.124474,175.0
17.595152,78.124474,175.0
17.595144,78.124474,153.0
17.595144,78.124474,129.0
17.595137,78.124474,89.0
17.595137,78.124474,92.0
17.595121,78.124474,89.0
17.595112,78.124481,88.0
17.595112,78.124481,88.0
17.5951,78.124481,93.0
17.5951,78.124481,91.0
17.5951,78.124481,93.0
17.595093,78.124496,96.0
17.595093,78.124496,95.0
17.595106,78.124519,97.0
17.595095,78.124519,96.0
17.595095,78.124519,97.0
17.595095,78.124535,96.0
17.595095,78.124535,97.0
17.595087,78.124542,93.0
17.595087,78.124542,96.0
17.595058,78.124542,95.0
17.595058,78.124542,94.0
17.595055,78.12455,95.0
17.595055,78.12455,93.0
17.59506,78.124557,96.0
17.59506,78.124557,94.0
17.595081,78.12458,97.0
17.595093,78.124588,98.0
17.5951,78.124603,95.0
17.5951,78.124603,94.0
17.5951,78.124603,88.0
17.5951,78.124603,86.0
17.5951,78.124603,88.0
17.595119,78.124641,89.0
17.595119,78.124641,88.0
17.595097,78.124649,92.0
17.595097,78.124649,90.0
17.595079,78.124649,96.0
17.595079,78.124649,97.0
17.595095,78.124664,99.0
17.595095,78.124664,100.0
17.595087,78.124649,100.0
17.595087,78.124649,103.0
17.595087,78.124649,103.0
17.595081,78.12468,94.0
17.595081,78.12468,92.0
17.595078,78.124695,93.0
17.595078,78.124695,94.0
17.595078,78.124695,95.0
17.595076,78.124702,94.0
17.595076,78.124702,89.0
17.595079,78.12471,97.0
17.595079,78.124718,103.0
17.595079,78.124718,104.0
17.595078,78.124725,103.0
17.595078,78.124733,96.0
17.595078,78.124748,92.0
17.595078,78.124748,97.0
17.595078,78.124756,96.0
17.595078,78.124756,100.0
17.595078,78.124779,101.0
17.595078,78.124779,98.0
17.595079,78.124786,104.0
17.595079,78.124786,98.0
17.595079,78.124786,83.0
17.595085,78.124802,0.0
17.595085,78.124802,1.0
17.595085,78.124802,353.0
17.595102,78.124809,357.0
17.595102,78.124809,355.0
17.595102,78.124809,355.0
17.595102,78.124809,355.0
17.595121,78.124817,355.0
17.595121,78.124817,355.0
17.595133,78.124817,1.0
17.595133,78.124817,2.0
17.595142,78.124817,350.0
17.595142,78.124817,353.0
17.595152,78.124817,354.0
17.595152,78.124817,355.0
17.595161,78.124817,352.0
17.595161,78.124817,340.0
17.595167,78.124809,287.0
17.595167,78.124809,278.0
17.595175,78.124809,268.0
17.595181,78.124802,270.0
17.595181,78.124802,276.0
17.595181,78.124802,281.0
17.595181,78.124802,281.0
17.595188,78.124786,278.0
17.595188,78.124786,276.0
17.59519,78.124794,279.0
17.59519,78.124794,280.0
17.59519,78.124794,275.0
17.59519,78.124794,276.0
17.59519,78.124794,279.0
17.59519,78.124794,280.0
17.595196,78.124802,279.0
17.595196,78.124802,280.0
17.595196,78.124802,283.0
17.595196,78.124802,281.0
17.595198,78.124802,280.0
17.595198,78.124802,280.0
17.595201,78.124809,277.0
17.595201,78.124809,276.0
17.595201,78.124809,283.0
17.595201,78.124809,283.0
17.595201,78.124817,281.0
17.595201,78.124817,282.0
17.595201,78.124817,273.0
17.595201,78.124817,267.0
17.595201,78.124809,280.0
17.595201,78.124809,290.0
17.595205,78.124817,54.0
17.595205,78.124817,75.0
17.595203,78.124825,100.0
17.595203,78.124825,102.0
17.595205,78.124832,91.0
17.595205,78.124832,93.0
17.595201,78.124832,96.0
17.595201,78.124832,95.0
17.5952,78.124825,102.0
17.5952,78.124825,100.0
17.595201,78.124825,101.0
17.595201,78.124825,103.0
17.595203,78.124832,103.0
17.595203,78.124832,100.0
17.595203,78.12484,92.0
17.595203,78.12484,349.0
17.595213,78.124847,348.0
17.595213,78.124847,350.0
17.595221,78.124847,343.0
17.595221,78.124847,343.0
17.595228,78.124847,331.0
17.595228,78.124847,311.0
17.59523,78.12484,274.0
17.59523,78.12484,271.0
17.595232,78.124832,263.0
17.595232,78.124832,267.0
17.595234,78.124825,258.0
17.595234,78.124825,258.0
17.595234,78.124825,257.0
17.59523,78.124809,262.0
17.595228,78.124802,261.0
17.595228,78.124802,259.0
17.595228,78.124802,256.0
17.59523,78.124794,241.0
17.59523,78.124794,242.0
17.59523,78.124794,245.0
17.59523,78.124794,245.0
17.59523,78.124794,244.0
17.59523,78.124794,243.0
17.59523,78.124794,243.0
17.59523,78.124794,244.0
17.59523,78.124794,244.0
17.595232,78.124794,245.0
17.595232,78.124794,247.0
17.595232,78.124794,230.0
17.595238,78.124794,132.0
17.595238,78.124794,107.0
17.595253,78.124786,95.0
17.595253,78.124786,101.0
17.595255,78.124786,96.0
17.595255,78.124786,93.0
17.595255,78.124786,96.0
17.595247,78.124809,98.0
17.595247,78.124809,98.0
17.595249,78.124817,99.0
17.595249,78.124817,100.0
17.595247,78.124825,89.0
17.595247,78.124825,89.0
17.595247,78.124825,16.0
17.595247,78.124825,355.0
17.595247,78.124825,343.0
17.595247,78.124825,341.0
17.595272,78.124832,334.0
17.595272,78.124832,339.0
17.595287,78.124832,345.0
17.595287,78.124832,341.0
17.595297,78.124832,345.0
17.595297,78.124832,343.0
17.595306,78.124832,340.0
17.595306,78.124832,341.0
17.595314,78.124832,334.0
17.595314,78.124832,337.0
17.595324,78.124832,336.0
